medida;tiempo;canal;id;valor
status;05/04/2025 0:00;ALL;7;1
voltageReceiver1;05/04/2025 0:00;a;7;1776
voltageReceiver2;05/04/2025 0:00;a;7;1588
status;05/04/2025 0:00;ALL;7;1
voltageReceiver1;05/04/2025 0:00;b;7;1753
voltageReceiver2;05/04/2025 0:00;b;7;1624
status;05/04/2025 0:00;ALL;7;1
voltageReceiver1;05/04/2025 0:00;a;7;1765
voltageReceiver2;05/04/2025 0:00;a;7;1588
status;05/04/2025 0:00;ALL;7;1
voltageReceiver1;05/04/2025 0:00;b;7;1765
voltageReceiver2;05/04/2025 0:00;b;7;1624
status;05/04/2025 0:01;ALL;7;1
voltageReceiver1;05/04/2025 0:01;a;7;1765
voltageReceiver2;05/04/2025 0:01;a;7;1588
status;05/04/2025 0:01;ALL;7;1
voltageReceiver1;05/04/2025 0:01;b;7;1718
voltageReceiver2;05/04/2025 0:01;b;7;1624
status;05/04/2025 0:01;ALL;7;1
voltageReceiver1;05/04/2025 0:01;a;7;1765
voltageReceiver2;05/04/2025 0:01;a;7;1588
status;05/04/2025 0:01;ALL;7;1
voltageReceiver1;05/04/2025 0:01;b;7;1729
voltageReceiver2;05/04/2025 0:01;b;7;1624
status;05/04/2025 0:02;ALL;7;1
voltageReceiver1;05/04/2025 0:02;a;7;1741
voltageReceiver2;05/04/2025 0:02;a;7;16
status;05/04/2025 0:02;ALL;7;1
voltageReceiver1;05/04/2025 0:02;b;7;1706
voltageReceiver2;05/04/2025 0:02;b;7;1624
status;05/04/2025 0:02;ALL;7;1
voltageReceiver1;05/04/2025 0:02;a;7;1753
voltageReceiver2;05/04/2025 0:02;a;7;16
status;05/04/2025 0:02;ALL;7;1
voltageReceiver1;05/04/2025 0:02;b;7;1729
voltageReceiver2;05/04/2025 0:02;b;7;1624
status;05/04/2025 0:03;ALL;7;1
voltageReceiver1;05/04/2025 0:03;a;7;1753
voltageReceiver2;05/04/2025 0:03;a;7;1588
status;05/04/2025 0:03;ALL;7;1
voltageReceiver1;05/04/2025 0:03;b;7;1682
voltageReceiver2;05/04/2025 0:03;b;7;1624
status;05/04/2025 0:03;ALL;7;1
voltageReceiver1;05/04/2025 0:03;a;7;1765
voltageReceiver2;05/04/2025 0:03;a;7;1588
status;05/04/2025 0:03;ALL;7;1
voltageReceiver1;05/04/2025 0:03;b;7;1706
voltageReceiver2;05/04/2025 0:03;b;7;1624
status;05/04/2025 0:04;ALL;7;1
voltageReceiver1;05/04/2025 0:04;a;7;1729
voltageReceiver2;05/04/2025 0:04;a;7;1588
status;05/04/2025 0:04;ALL;7;1
voltageReceiver1;05/04/2025 0:04;b;7;1659
voltageReceiver2;05/04/2025 0:04;b;7;1624
status;05/04/2025 0:04;ALL;7;1
voltageReceiver1;05/04/2025 0:04;a;7;1729
voltageReceiver2;05/04/2025 0:04;a;7;1588
status;05/04/2025 0:04;ALL;7;1
voltageReceiver1;05/04/2025 0:04;b;7;1671
voltageReceiver2;05/04/2025 0:04;b;7;1624
status;05/04/2025 0:05;ALL;7;1
voltageReceiver1;05/04/2025 0:05;a;7;1729
voltageReceiver2;05/04/2025 0:05;a;7;1588
status;05/04/2025 0:05;ALL;7;1
voltageReceiver1;05/04/2025 0:05;b;7;1682
voltageReceiver2;05/04/2025 0:05;b;7;1624
status;05/04/2025 0:05;ALL;7;1
voltageReceiver1;05/04/2025 0:05;a;7;1729
voltageReceiver2;05/04/2025 0:05;a;7;1588
status;05/04/2025 0:05;ALL;7;1
voltageReceiver1;05/04/2025 0:05;b;7;1682
voltageReceiver2;05/04/2025 0:05;b;7;1624
status;05/04/2025 0:06;ALL;7;1
voltageReceiver1;05/04/2025 0:06;a;7;1741
voltageReceiver2;05/04/2025 0:06;a;7;1588
status;05/04/2025 0:06;ALL;7;1
voltageReceiver1;05/04/2025 0:06;b;7;1682
voltageReceiver2;05/04/2025 0:06;b;7;1624
status;05/04/2025 0:06;ALL;7;1
voltageReceiver1;05/04/2025 0:06;a;7;1729
voltageReceiver2;05/04/2025 0:06;a;7;1588
status;05/04/2025 0:06;ALL;7;1
voltageReceiver1;05/04/2025 0:06;b;7;1671
voltageReceiver2;05/04/2025 0:06;b;7;1624
status;05/04/2025 0:07;ALL;7;1
voltageReceiver1;05/04/2025 0:07;a;7;1729
voltageReceiver2;05/04/2025 0:07;a;7;1588
status;05/04/2025 0:07;ALL;7;1
